origin,origin_region
NSRR-ATLANTA-AUSTELL,SE
BNA2,SE
KMSP,MW
USD1,SW
LASSEN,SW
DAU7,TX
UWA2,NW
STX9,TX
BFI2,NW
MON-OTTKS,MW
GRAND_PR_75050_584,TX
DON8,
CMH6,MW
DAT9,SE
LBE1,NE
YYC1,
HLA6,SW
PIT4,NE
UOH4,MW
ATL6-OFFSITE,SE
113GBX3ZF_ITR,TX
JBHU JERSEY CITY YARD,NE
113Q3MFN8_ITR,MW
288_REDBUD_RD,NE
112KS35NV_ITR,NW
RDU1,SE
BHM1,SE
AVP1,NE
WE_PAY_LIKZ9_60490_7HL,MW
WIL3,MW
WDE1,NE
HJBI_LOWELL,TX
ELECTROL_37172_3000_135,SE
LUKA,MW
CVG2,MW
CSXT-CENTRAL FLORIDA ILC,SE
AVP9,NE
MSP7,MW
FTW2,TX
XME1,SE
DSFS,SW
CONGLOBAL BERWYN,MW
MAH5,NE
ORF4,NE
LAS6,SW
XSL2,SW
SDF9 - PRESTON OSY,MW
INDIANHE_54703_515,MW
HME9,SE
VHL1,NE
HVB2,NE
BWI2,NE
CSXT-BEDFORD PARK-CS,MW
MCE1,SW
,MW
MEM4-DRAY,SE
GRU5-A,SE
CNO8,SW
WKS3,MW
QAV9,SE
AACT-DAL,TX
BNSF-BERNARDINO-TOT,SW
ONT8,SW
GYR2,SW
GRU5-B,TX
LGB8-OSY1-NODE,SW
BUF5,NE
DTW9,MW
DLF1,SE
BNA8,SE
XCM1,MW
AACT-IND,MW
LGB7-DRAY,SW
113MCZRQJ_ITR,SW
MAB2,NW
REFEED FARMS,
DPD6,NW
ENCORE_TRANSIT_ONTARIO,SW
113RRBZ35_ITR,NW
MMU9,NE
WVC1,TX
CSXT-BEDFORD-PARK,MW
HWA4,NW
UNY1,NE
UNC2,SE
JB_HUNT_SPOKANE,NW
PHX3,SW
XCE1,MW
BNSFPHOENIX,SW
KSMF,SW
ZY,SW
BDL4-OSY2-NODE,NE
HUBG_HUNTINGTON,SW
SCJ_RDC__95835_992,SW
DDV2,NW
JFK8,NE
SSY1,SE
CSXT-BALTIMORE-CS,NE
SDL2,SW
QOX4,SE
HDC3,NE
LAS2-OSY5-NODE,SW
CSG1,SE
BNSF-MEMPHIS-TOT,SE
LDJ5,NE
AIRLITE__68110_562,MW
UMA4,NE
STL5,MW
REHRIG_TX,TX
UNJ1,NE
KJFK,NE
B82_LITH_30122_644,SE
XMH1,MW
JB_HUNT_MOUNT_PLEASANT,MW
TOR5,
OKC1,TX
AUS2,TX
PSP3,SW
CVG1,MW
QXX6,MW
PCNA_DC__60433_8450_370,MW
FOE1,MW
SS_RIVERSIDE,NE
KRB9,SW
VMN1,MW
EXLA-IND093,MW
VWI1,MW
ORHZ,NE
SFL4,SE
MKE2-DRAY,MW
QRR3,SE
ACY8,NE
PEPE'S_TOWING_SERVICE_92377,SW
REWR,NE
SIL4,MW
ABE8,NE
EXLA-WLD027,NE
KMHT,NE
XNJ2-DRAY,NE
650 S REYNOLDS RD,MW
BNSF-LOSANGELES-TOT,SW
CAE3,SE
EWR6,NE
DBM5,SE
115SS39M7_ITR,NE
DSM5,MW
